run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
gh-31624873304-0812T1753,2026-08-12T12:55:16-05:00,2029903,CLASE MAGISTRAL,(1) Grupo 1 Cesar Ayala Diago,Cesar Augusto Ayala Diago,cesar augusto ayala diago,78,NA,63
gh-31624873304-0812T1753,2026-08-12T12:55:17-05:00,2029864,CLASE TEORICA,(1) Chino Electivo III,JESSICA LUCIA MORENO NOVOA,jessica lucia moreno novoa,25,NA,64
gh-31624873304-0812T1753,2026-08-12T12:55:18-05:00,2021758,CLASE TEORICA,(1) Grupo 1 - Chino Electivo I,JESSICA LUCIA MORENO NOVOA,jessica lucia moreno novoa,25,NA,65
gh-31624873304-0812T1753,2026-08-12T12:55:18-05:00,2021758,CLASE TEORICA,(2) Grupo 2 - Chino Electivo I,JESSICA LUCIA MORENO NOVOA,jessica lucia moreno novoa,26,NA,65
gh-31624873304-0812T1753,2026-08-12T12:55:20-05:00,2021760,CHINO II,(1) Chino Electivo II,JESSICA LUCIA MORENO NOVOA,jessica lucia moreno novoa,25,NA,66
gh-31624873304-0812T1753,2026-08-12T12:55:21-05:00,2016133,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,Alvaro Ibata Ceballos,alvaro ibata ceballos,100,NA,67
gh-31624873304-0812T1753,2026-08-12T12:55:22-05:00,2021142,NA,(1) Grupo 1,Raul Eduardo Gomez Torres,raul eduardo gomez torres,46,NA,68
gh-31624873304-0812T1753,2026-08-12T12:55:22-05:00,2021142,NA,(2) Grupo 2,Raul Eduardo Gomez Torres,raul eduardo gomez torres,46,NA,68
gh-31624873304-0812T1753,2026-08-12T12:55:23-05:00,2028571,CLASE TEORICA,(1) Grupo 1,Diana Carolina Florez Bayona,diana carolina florez bayona,30,NA,69
gh-31624873304-0812T1753,2026-08-12T12:55:24-05:00,2029900,CLASE TEORICA,(1) GRUPO 1,Oscar Antonio Caballero Rodriguez,oscar antonio caballero rodriguez,20,NA,70
gh-31624873304-0812T1753,2026-08-12T12:55:26-05:00,2023244,NA,(1) 2023244-1 Computacion grafica,Miguel Angel Baquero Cortes,miguel angel baquero cortes,0,NA,71
gh-31624873304-0812T1753,2026-08-12T12:55:27-05:00,2026204,CLASE SEMINARIO,(1) Grupo 1,Ramon Elberto Uribe Galves,ramon elberto uribe galves,25,NA,72
gh-31624873304-0812T1753,2026-08-12T12:55:29-05:00,2028569,NA,(1) Grupo 1,Diana Marcela Hincapie Cetina,diana marcela hincapie cetina,0,NA,74
gh-31624873304-0812T1753,2026-08-12T12:55:31-05:00,2029421,CLASE TEORICA,(1) Grupo 1 - Clase presencial,Jenniffer Vargas Reina,jenniffer vargas reina,60,NA,75
gh-31624873304-0812T1753,2026-08-12T12:55:33-05:00,2017564,NA,(1) Grupo 1,MARTA NUBIA VELASQUEZ RICO,marta nubia velasquez rico,30,NA,77
gh-31624873304-0812T1753,2026-08-12T12:55:36-05:00,2027223,NA,(1) Grupo 1,Irene Castilla Hernandez,irene castilla hernandez,0,NA,79
gh-31624873304-0812T1753,2026-08-12T12:55:36-05:00,2027223,NA,(2) Grupo 2,Luis Enrique Pardo Granados,luis enrique pardo granados,0,NA,79
gh-31624873304-0812T1753,2026-08-12T12:55:37-05:00,2027224,NA,(1) Grupo 1,Sergio Cuadros Hernandez,sergio cuadros hernandez,0,NA,80
gh-31624873304-0812T1753,2026-08-12T12:55:37-05:00,2027224,NA,(2) Grupo 2,Sergio Cuadros Hernandez,sergio cuadros hernandez,0,NA,80
gh-31624873304-0812T1753,2026-08-12T12:55:38-05:00,2021152,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Sede Bogotá,Jose Jairo Giraldo Gallo,jose jairo giraldo gallo,0,NA,81
gh-31624873304-0812T1753,2026-08-12T12:55:40-05:00,7000293-B,CALSE TEORICA,(3) Grupo Amazonia,Sonia Patricia Carreño Moreno,sonia patricia carreno moreno,2,NA,82
